tier,brand,model,peak_units,latest_year,latest_units,pct_change_peak_to_latest
luxury,Audi,A4,49862,2025,509,-99.0
mainstream,Volkswagen,Passat,125212,2022,2408,-98.1
luxury,Lexus,LS,35226,2025,1082,-96.9
luxury,Mercedes-Benz,E-Class,69983,2025,11086,-84.2
luxury,Audi,A8,6300,2025,1396,-77.8
luxury,Mercedes-Benz,S-Class,30886,2025,7072,-77.1
luxury,BMW,3 Series,142488,2025,32782,-77.0
luxury,Genesis,G80,16214,2025,3830,-76.4
mainstream,Hyundai,Sonata,230605,2025,60094,-73.9
luxury,Mercedes-Benz,C-Class,88251,2025,24458,-72.3
mainstream,Volkswagen,Jetta,183262,2025,53927,-70.6
luxury,Lexus,IS,54933,2025,19714,-64.1
luxury,Genesis,G90,4398,2025,1656,-62.3
luxury,Audi,A6,23941,2025,10494,-56.2
luxury,BMW,5 Series,60840,2025,26861,-55.8
luxury,Lexus,ES,82867,2025,39926,-51.8
mainstream,Hyundai,Elantra,247912,2025,148200,-40.2
luxury,BMW,7 Series,18165,2025,11303,-37.8
mainstream,Toyota,Corolla,387388,2025,248088,-36.0
mainstream,Toyota,Camry,472808,2025,317185,-32.9
luxury,Genesis,G70,13246,2025,10863,-18.0
