model,year,units_sold_us,prev_year_units,yoy_pct_change
A4,2018,34311,,
A4,2019,26435,34311,-23.0
A4,2020,18342,26435,-30.6
A4,2021,16263,18342,-11.3
A4,2022,15239,16263,-6.3
A4,2023,13369,15239,-12.3
A4,2024,7036,13369,-47.4
A4,2025,509,7036,-92.8
A8,2018,1599,,
A8,2019,2963,1599,85.3
A8,2020,2375,2963,-19.8
A8,2021,2068,2375,-12.9
A8,2022,1593,2068,-23.0
A8,2023,2259,1593,41.8
A8,2024,1630,2259,-27.8
A8,2025,1396,1630,-14.4
LS,2018,9301,,
LS,2019,5528,9301,-40.6
LS,2020,3650,5528,-34.0
LS,2021,3739,3650,2.4
LS,2022,2679,3739,-28.3
LS,2023,2237,2679,-16.5
LS,2024,2163,2237,-3.3
LS,2025,1082,2163,-50.0
Passat,2018,41401,,
Passat,2019,14123,41401,-65.9
Passat,2020,24597,14123,74.2
Passat,2021,24398,24597,-0.8
Passat,2022,2408,24398,-90.1
Passat,2025,0,2408,-100.0
